trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-90.90111285637563,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,11.740274509794395,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-45.882796434827,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,5,-57.78332561906398,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-27.3130269381072,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",35,0,-92.31779172860352,"{0: 26, 1: 0, 2: 7, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,7,-34.73730875674759,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-0.03239504325077669,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-65.43042997396464,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-117.68028034077362,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,0,-114.19802057373388,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,7,-26.64628289923059,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,15,16.904580710700227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,0,-108.58391341179816,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,1,-41.11296606606363,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-79.26221161966053,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-133.88422081282306,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,23,-7.915132899019465,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-15.977566932605045,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,5,-72.55278748780859,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,2,-150.25745718928601,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 4}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-64.01282677807401,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,13,-15.501371473175947,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,15.549236852003519,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-6.286591827192494,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-54.99135906962288,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-162.92310461397156,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,0,-111.69533866257083,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
